מספר חברה,שם חברה
900553,עמותת הגמלאים שליד ה
918087,עמותת הגמלאים שליד ההסתדרות החדשה מרחב השרון
924372,עמותת כח לגימלאים תל אביב
922865,עמותת עולים ועומדים
900482,עמל 1 בעמ חלצ
908572,פארק תעשייה קיסריה
912024,פוקס ויזל בעמ
923047,פוקס ויזל בעמ
907222,"פשמ""ג-ועד עובדים"
912958,צים הובלות
3184,"צים חברת השיט הישראלית בע""מ"
1734,צים שירותי ספנות משו
918812,"צים שירותי ספנות משולבים בע""מ -חוף"
921127,קבוצת גולד בונד בעמ
901432,"קופ""ח כללית"
918486,"קרביץ 1974 בע""מ"
9832,"קרביץ 1974 בע""מ"
912643,קרן מקפת החדשה - ניהול קרנות פנסיה
35542,קרן מקפת מרכז לפנסיה ותגמולים
910465,קרן מקפת - ועד עובדים
528,קרסו מוטורוס בעמ
900650,רכבת ישראל
911099,רכבת ישראל
927459,רכבת ישראל -ועד עובדים
912227,"רכבת ישראל בע""מ"
911271,רכבת ישראל דימונה - ועד
2486,"רפא""ל ועד רווחה"
903854,"רפא""ל - הוועד הארצי של ההנדסאים"
914135,"רפא""ל - ועד מח""ר מהנדסים"
914529,"רפא,ל - ועד העובדים המנהליים"
919516,"רפא""ל - חטיבת מערכות טילים - ועד עובדים"
908288,"רפא""ל / משרד הבטחון"
911121,רשות הדואר טבריה ועד
913298,רשות הדואר מודיעין
901482,"חברת דואר ישראל בע""מ - ועד אשנבים"
902356,חברת דואר ישראל בעמ
902556,"חברת דואר ישראל בע""מ-ועד עובדי חולון"
910229,חברת דואר ישראל בעמ
914350,חברת דואר ישראל שרות
914427,חברת דואר ישראל בעמ
914780,חברת דואר ישראל - דואר טבריה
915029,חברת דואר ישראל בעמ
915030,חברת דואר ישראל בעמ
915031,חברת דואר ישראל בעמ
915032,חברת דואר ישראל בעמ
915033,חברת דואר ישראל בעמ
915047,חברת דואר ישראל בעמ
915088,חברת דואר ישראל בעמ
915089,חברת דואר ישראל בעמ
