מספר חברה,שם חברה
916135,ש שלמה רכב בעמ
1799,שיר   שלמה יבוא רכ
906525,#N/A
89838,#N/A
462339,#N/A
914323,#N/A
29644,#N/A
916862,שפ שווקים פיננסיים
921842,#N/A
915409,#N/A
915445,שופרסל אונליין
900870,#N/A
918713,"שופרסל בע""מ - הנהלה ראשית"
916960,#N/A
909175,#N/A
912632,#N/A
900821,שופרסל משרד ראשי - ועד עובדים
924065,#N/A
921309,#N/A
926341,#N/A
921410,#N/A
921855,שופרסל - מוקד תווים
914144,#N/A
914202,#N/A
915460,#N/A
921682,#N/A
927065,#N/A
916018,#N/A
2836,#N/A
919136,#N/A
910769,#N/A
912516,#N/A
915441,#N/A
925327,#N/A
908098,            שופרסל פיננסים שותפות מוגבלת
909176,#N/A
905403,#N/A
915230,#N/A
910230,#N/A
912515,#N/A
906018,#N/A
915395,#N/A
926532,#N/A
907349,#N/A
917016,שטראוס גרופ בעמ
907216,1993 שטראוס השקעות
912232,#N/A
2819,#N/A
900066,#N/A
910873,#N/A
918911,שטראוס ממתקים   ועד
14590,#N/A
923520,#N/A
909748,#N/A
927438,#N/A
74388,שטראוס קפה טו גו בע
919224,שטראוס קפה לוד ועד ע
14591,#N/A
443685,#N/A
914502,#N/A
916995,  שירותי בריאות כללית
921405,שירותי בריאות כללית
924673,שירותי בריאות כללית  מחוז צפון
916138,שלמה כאל בעמ
919882,שלמה רשת מוסכים
916133,שלמה תחבורה בעמ
925330,#N/A
909540,#N/A
911063,תדיראן טלקום תטל
914248,תדיראן טלקום שירותי
918476,תדיראן טלקום תטל
924807,תדיראן טלקום שירותי תקשורת בישראל ועד עו
910757,#N/A
904027,#N/A
913264,תנובה גליל מאמא עו
915427,#N/A
904983,#N/A
30352,#N/A
903638,תנובה מרכז שתופי לשי
923476,תנובה מרכז שיתופי לשיווק -ועד
923369,תנובה פת   מרלוג גוש דן
924376,#N/A
901530,תעשיה צבאית ארגון אר
910002,#N/A
916940,מורשה ודעת ער
924253,מילב  מועדוני הגמלאי
918497,#N/A
918480,מימון ישיר מקבוצת יש
910807,מכבי אש עפולה
914034,#N/A
910077,מלונות פתאל בעמ
918343,מרכז משען בעמ
464500,#N/A
911586,#N/A
924391,משכנות כלל כפר סבא ב
28343,#N/A
924390,משכנות כלל מגדלי הים
918120,#N/A
912260,#N/A
917731,#N/A
900757,משרד הבטחון כד
